State,XCOR,YCOR
Andhra Pradesh,-47.0,-133.0
Arunachal Pradesh,215.0,112.0
Assam,170.0,69.0
Bihar,58.0,52.0
Chhattisgarh,-16.0,-34.0
Goa,-160.0,-131.0
Gujarat,-194.0,4.0
Haryana,-101.0,122.0
Himachal Pradesh,-78.0,178.0
Jammu and Kashmir,-104.0,256.0
Jharkhand,46.0,15.0
Karnataka,-137.0,-165.0
Kerala,-117.0,-247.0
Ladakh,-56.0,228.0
Madhya Pradesh,-80.0,7.0
Maharashtra,-131.0,-57.0
Manipur,200.0,45.0
Meghalaya,148.0,52.0
Mizoram,178.0,5.0
Nagaland,208.0,71.0
Odisha,39.0,-41.0
Punjab,-119.0,155.0
Rajasthan,-154.0,83.0
Sikkim,101.0,91.0
Tamil Nadu,-62.0,-212.0
Telangana,-64.0,-87.0
Tripura,152.0,21.0
Uttarakhand,-38.0,143.0
Uttar Pradesh,-21.0,80.0
West Bengal,108.0,2.0
